A,B,result
Finite difference,Numerical analysis,1
Abstract data type,Computer science,1
Correlation and dependence,Data,1
Machine learning,Probability theory,1
Scientific visualization,Computer graphics,1
Exponential family,Probability theory,1
Traffic analysis,Cryptography,1
Random graph,Combinatorics,1
Sufficient statistic,Data,1
Artificial intelligence,Data structure,1
Partial differential equation,Mathematics,1
Firewall (computing),Vulnerability (computing),1
Central processing unit,Computer,1
Assembly language,Computer programming,1
Python (programming language),Computer programming,1
GPU,Computer graphics,1
Embedded system,Microprocessor,1
Formal language,Computer science,1
Distributed algorithms,Algorithm,1
Concurrency control,Computer programming,1
Algorithm design,Computer science,1
Lisp (programming language),Programming language,1
Computer graphics,Algorithm design,1
Algorithm,Abstraction (computer science),1
Computer science,Number theory,1
Computational complexity theory,Mathematics,1
Virtual memory,Operating system,1
Suffix tree,String searching algorithm,1
Mathematical optimization,Mathematics,1
Approximation algorithm,Introduction to Algorithms,1
Robotics,Computer science,1
Pipeline (computing),Central processing unit,1
"Best, worst and average case",Computer science,1
Relational database,Computer science,1
Parsing,Programming language,1
Cryptography,Computer security,1
Computer programming,Algorithm,1
Internet,Routing,1
Cryptographic hash function,Cryptography,1
Cryptanalysis,Mathematics,1
Visualization (computer graphics),Geometry,1
Scheduling (computing),Computing,1
Computer graphics,Data,1
Instruction set,Computer,1
Quantum mechanics,Probability,1
Software testing,Computer programming,1
Software development,Object-oriented programming,1
Computer vision,Image processing,1
Computer graphics,Computer,1
Computer programming,Arithmetic,1
CPU cache,Computer,1
Scope (computer science),Variable (computer science),1
Algorithm,Discrete mathematics,1
Embedded system,Computer,1
Multiplication,Mathematics,1
Game theory,Mathematical optimization,1
Personal computer,Computer,1
Database normalization,Database,1
Distributed computing,Mutual exclusion,1
Graph (mathematics),Discrete mathematics,1
Data mining,Computer science,1
Ordinary differential equation,Numerical analysis,1
Pattern recognition,Computer science,1
Game theory,Probability theory,1
Computational geometry,Computer,1
NP (complexity),Turing machine,1
Parametric polymorphism,Programming language,1
Cryptography,Computational complexity theory,1
Algorithm,Computation,1
Computational chemistry,Computer science,1
Parsing,String (computer science),1
Information theory,Conditional probability,1
Programming style,Computer programming,1
Randomized algorithm,Randomization,1
Relational database,Database,1
Autonomous robot,Robot,1
Numerical analysis,Matrix (mathematics),1
Database system,Database,1
Question answering,Expert system,1
Computer network,Computer,1
Deadlock,Operating system,1
String (computer science),Data (computing),1
Decision theory,Random variable,1
Random graph,Mathematics,1
Gradient descent,Mathematical optimization,1
Hidden Markov model,Probability,1
Cryptography,Modular arithmetic,1
Scalability,Software design,1
Automated theorem proving,Mathematical proof,1
Compiler,Assembly language,1
Flow network,Introduction to Algorithms,1
Object-oriented programming,Abstract data type,1
Natural language processing,Unsupervised learning,1
Model of computation,Computation,1
Superscalar,Multi-core processor,1
Database,Data structure,1
Theoretical computer science,Discrete mathematics,1
Computational chemistry,Algorithm,1
Stack (data structure),Array data structure,1
Markov chain,Random variable,1
Computational complexity theory,Algorithm design,1
Calculus,Mathematics,1
Graphical model,Random variable,1
Concurrency control,Algorithm design,1
Software development,Data structure,1
Graph theory,Graph (mathematics),1
Time complexity,Computational complexity theory,1
Python (programming language),Computer,1
C++,Computer,1
Peer-to-peer,Computer network,1
Discrete mathematics,Algebra,1
Information theory,Probability theory,1
Artificial intelligence,Computational complexity theory,1
Java (programming language),Computer programming,1
Software development,Software design,1
CPU cache,Performance tuning,1
Signal processing,Probability,1
Computer programming,Data structure,1
Object-oriented programming,Structured programming,1
Boundary value problem,Ordinary differential equation,1
Symbol table,Computer science,1
Machine translation,Algorithm,1
Mathematical optimization,Algorithm,1
Mathematical induction,Mathematical proof,1
Object-oriented programming,Computer programming,1
Computability,Computer science,1
Query language,Computer programming,1
Query optimization,Relational database,1
Statistics,Arithmetic,1
SQL,Computer science,1
Scope (computer science),Computer programming,1
Rendering (computer graphics),Computer,1
Correlation and dependence,Random variable,1
Computer network,Data,1
Object-oriented programming,Variable (computer science),1
Bayesian,Data,1
Communications protocol,Algorithm,1
Abstraction (computer science),Computer programming,1
Neural network,Pattern recognition,1
Computer animation,Computational geometry,1
Malware,Authentication,1
Operating system,Computer programming,1
Programming paradigm,Programming language,1
Undecidable problem,Computer science,1
Large deviations theory,Probability theory,1
Pushdown automata,String (computer science),1
Natural language processing,Semantics,1
Artificial intelligence,Programming language,1
Program optimization,Algorithm,1
Profiling (computer programming),Algorithm,1
Partial differential equation,Differential equation,1
Computing,Computation,1
Internet,Telecommunications network,1
Parsing,Regular language,1
Database management system,Database transaction,1
Virtual reality,Computer graphics,1
Routing,Computer,1
Computer network,Computer science,1
Model checking,Algorithm,1
Computer software,Computer,1
Cryptanalysis,Algorithm,1
Formal verification,Computer science,1
Mathematical proof,Mathematics,1
Mathematical optimization,Matrix (mathematics),1
Variable (computer science),Computer programming,1
System programming,Computer,1
Visualization (computer graphics),Mathematics,1
Finite-state machine,Automata theory,1
Database,Data,1
Lexical analysis,Formal grammar,1
Analysis of algorithms,Introduction to Algorithms,1
NP-complete,Algorithm,1
Machine learning,Expected value,1
Software engineering,Programming language,1
String searching algorithm,Introduction to Algorithms,1
Analysis of algorithms,Probability theory,1
Computer programming,Computer science,1
Cryptography,Mathematics,1
Object-oriented programming,Design pattern (computer science),1
Analysis of algorithms,Turing machine,1
Parallel algorithm,Computer science,1
Big data,Computer science,1
Parallel computing,Shared memory,1
String searching algorithm,Algorithm,1
Type system,Programming language,1
Computer security,Computer science,1
MATLAB,Programming language,1
Newton's method,Numerical analysis,1
Transaction processing,Computer programming,1
Analysis of algorithms,Algorithm,1
Relational model,Data type,1
User interface,Computer,1
Computational complexity theory,Theory of computation,1
OSI model,Computer network,1
Natural language processing,Graph theory,1
Randomized algorithm,Conditional probability,1
Markov chain,Conditional probability,1
Public-key cryptography,Algorithm,1
Robotics,Artificial intelligence,1
Computer architecture,Computer science,1
Bioinformatics,Analysis of algorithms,1
Random walk,Graph (mathematics),1
Concurrency control,Database management system,1
Automated theorem proving,Predicate logic,1
Computer architecture,Computer,1
Wavelet,Signal processing,1
Natural language processing,Artificial intelligence,1
Formal language,Discrete mathematics,1
Monad (functional programming),Functional programming,1
Machine learning,Computational complexity theory,1
Haskell (programming language),Functional programming,1
Estimation theory,Probability,1
Public-key cryptography,Discrete mathematics,1
Concurrency control,Analysis of algorithms,1
Rendering (computer graphics),Computer graphics,1
Data type,Computer science,1
Unix,Operating system,1
Modular arithmetic,Discrete mathematics,1
Knowledge representation and reasoning,Data structure,1
Programming language,Automata theory,1
Formal language,Logic,1
Functional programming,Variable (computer science),1
Newton's method,Approximation,1
Computer software,Operating system,1
Software development,Software engineering,1
Time complexity,Algorithm,1
Sufficient statistic,Random variable,1
Web service,Computer network,1
Transaction processing,Computer science,1
Computer vision,Artificial intelligence,1
Cryptography,Computer science,1
Machine learning,Graph theory,1
Automatic programming,Computer programming,1
Model of computation,Computer science,1
Relational model,Database,1
Firewall (computing),Information assurance,1
Compiler,Programming language,1
Operating system,Central processing unit,1
Randomized algorithm,Introduction to Algorithms,1
Computer animation,Ray tracing (graphics),1
Theoretical computer science,Mathematics,1
Calculus of variations,Continuous function,1
Stochastic process,Continuous function,1
Quantum computer,Computer science,1
Concurrency (computer science),Computation,1
Linear algebra,Mathematics,1
Semidefinite programming,Approximation algorithm,1
Query optimization,Index (database),1
Integral,Mathematics,1
Operating system,Input/output,1
Undecidable problem,Computational complexity theory,1
Ray tracing (graphics),Computer graphics,1
Analysis of algorithms,Computation,1
Estimation theory,Statistical inference,1
Firewall (computing),Information security,1
Internet,OSI model,1
Least squares,Numerical analysis,1
Inheritance (object-oriented programming),Object-oriented programming,1
Cryptography,Authentication,1
Transaction processing,Database,1
Web search engine,Algorithm,1
Distributed computing,Operating system,1
Microcode,Computer,1
Complexity class,Computational complexity theory,1
P versus NP problem,Computer science,1
Autonomous robot,Robotics,1
Poisson distribution,Expected value,1
Software engineering,Debugging,1
System programming,Computer programming,1
Algebra,Arithmetic,1
Compiler,Parsing,1
Computer programming,Computational science,1
Operating system,Computing,1
Stochastic process,Randomization,1
Database,Computer science,1
Prediction,Probability,1
Computer graphics,Image,1
Halting problem,Theory of computation,1
Document classification,Machine learning,1
Concurrency control,Computer,1
Profiling (computer programming),Computer programming,1
Finite-state machine,Logic,1
Parsing,Data structure,1
Computer simulation,Computer science,1
Knowledge representation and reasoning,Logic,1
Algorithm,Theoretical computer science,1
Matrix (mathematics),Mathematics,1
Algorithm,Computing,1
Speech recognition,Machine learning,1
Malware,Computer security,1
Computer programming,Computer,1
Monad (functional programming),Computation,1
Lexical analysis,Programming language,1
Scripting language,Programming language,1
Newton's method,Mathematical optimization,1
Functional programming,Programming language,1
Computer animation,Image,1
Server (computing),Computer,1
List of undecidable problems,Computational problem,1
P versus NP problem,Algorithm,1
Cryptography,Number theory,1
Decision theory,hypothesis testing,1
Control flow,Computer,1
Database,Operating system,1
Recommender system,Machine learning,1
Computer science,Discrete mathematics,1
Compiler,Computer science,1
Bioinformatics,Computer programming,1
Reinforcement learning,Artificial intelligence,1
Estimation theory,Expected value,1
3D computer graphics,Algorithm,1
Assembly language,Computer,1
Turing machine,Finite-state machine,1
Web browser,Computer,1
Document classification,Computer science,1
Halting problem,Turing machine,1
Hash table,"Best, worst and average case",1
Lazy evaluation,Programming language,1
MapReduce,Parallel computing,1
hypothesis testing,Random variable,1
Lexical analysis,Regular expression,1
Parallel computing,Computing,1
Network security,Computer network,1
Software development,Computer science,1
PageRank,Expected value,1
Computer vision,Computer programming,1
Parallel computing,Time complexity,1
Programming language,Computer,1
Computer vision,Pattern recognition,1
Linear programming,Algorithm,1
Programming paradigm,Computational science,1
Java (programming language),Scope (computer science),1
Algorithm,Mathematics,1
Computer science,Mathematics,1
Statistics,Mathematics,1
Instruction set,Computer architecture,1
Object-oriented programming,Programming language,1
C (programming language),Computer programming,1
Index (database),Database,1
Computer security,Mathematics,1
String (computer science),Data structure,1
Finite-state machine,Computer science,1
JavaScript,Computer programming,1
Dynamic programming,Recursion,1
Combinatorics,Algebra,1
Context-free grammar,String (computer science),1
Hidden Markov model,Dynamic programming,1
Monte Carlo method,Statistical inference,1
Human-computer interaction,Interface (computing),1
Genetic algorithm,Computer science,1
Mathematical model,Integer,1
First-order logic,Recursion,1
Ray tracing (graphics),Rendering (computer graphics),1
Volume rendering,Computer graphics,1
GPU,Parallel computing,1
Pushdown automata,Computer science,1
Data structure,Data,1
Compiler optimization,Assembly language,1
Complexity,Algorithm,1
Assembly language,Computer science,1
Finite element method,Polynomial,1
Arithmetic logic unit,Computer,1
Randomized algorithm,Random variable,1
Computer science,Graph theory,1
Interpolation,Mathematics,1
Programming language,Computer science,1
Turing machine,Theory of computation,1
PSPACE,Computational complexity theory,1
Formal grammar,String (computer science),1
Turing machine,Computer science,1
Atomicity (database systems),Database,1
Debugging,Computer programming,1
Computational geometry,Algorithm,1
SQL,Computer programming,1
Recurrence relation,Algorithm,1
Monte Carlo method,Computation,1
Robot,Artificial intelligence,1
Algebra,Mathematics,1
Debugging,Control flow,1
Parallel computing,Computer programming,1
Lexical analysis,Computer science,1
Ray tracing (graphics),Computational geometry,1
Software design,Java (programming language),1
Neural network,Machine learning,1
Quantum cryptography,Cryptography,1
Artificial intelligence,Computer programming,1
Genetic algorithm,Algorithm,1
Computer graphics,Geometry,1
Array data structure,Data structure,1
Automated planning and scheduling,Artificial intelligence,1
Lexical semantics,Semantics,1
Analysis of algorithms,Computational complexity theory,1
Autonomous robot,Motion planning,1
Robotics,Robot,1
Graphical model,Scientific modelling,1
Random walk,Expected value,1
Spanning tree,Mathematics,1
Eigenvalues and eigenvectors,Matrix (mathematics),1
JavaScript,Computer,1
Artificial intelligence,Graph theory,1
Bayesian,Random variable,1
Pattern matching,Functional programming,1
Software engineering,Object-oriented programming,1
Approximation algorithm,Computer science,1
Hidden line removal,Algorithm,1
Random walk,Markov chain,1
Software framework,Control flow,1
Parallel algorithm,Parallel computing,1
Bioinformatics,Algorithm,1
Theoretical computer science,Computation,1
Algorithm design,Algorithm,1
Robotics,Analysis of algorithms,1
Bayesian,Conditional probability,1
Bayesian,Probability,1
Computational complexity theory,Algorithm,1
Image analysis,Computer science,1
Speech recognition,Markov chain,1
Multi-core processor,Vector processor,1
Abstraction (computer science),Computer science,1
Computational complexity theory,Theoretical computer science,1
High-level programming language,Computer science,1
Database management system,Computer,1
Computer vision,Computer science,1
Software design,Computer programming,1
Semantics,Syntax,1
Computer science,Foundations of mathematics,1
Algorithm,Iterative method,1
Data mining,Data,1
Computer,Arithmetic,1
Cryptographic hash function,Encryption,1
Relational model,Data,1
Boundary value problem,Partial differential equation,1
Message passing,Computer science,1
Artificial intelligence,Algorithm,1
Randomness,Mathematics,1
Input/output,Computer,1
Unix,Computer,1
Quantum mechanics,Randomness,1
Imperative programming,Higher-order function,1
Lexical analysis,Finite-state machine,1
Semantics of programming languages,Programming language,1
Functional programming,Generic programming,1
Message Passing Interface,Inter-process communication,1
Quantum computer,Computational complexity theory,1
Time complexity,Turing machine,1
Inference,Probability,1
Information assurance,Information security,1
Virtual memory,Computing,1
Discrete mathematics,Mathematical proof,1
Finite-state machine,Theory of computation,1
Computer security,Security,1
Linear algebra,Polynomial,1
Distributed computing,Computational complexity theory,1
Artificial intelligence,Computer science,1
Iterative method,Numerical analysis,1
Formal methods,Computer programming,1
P versus NP problem,Integer,1
Computer vision,Mathematical optimization,1
Inter-process communication,Data,1
Shortest path problem,Graph theory,1
Dynamic programming,Introduction to Algorithms,1
Numerical analysis,Floating point,1
Analysis of algorithms,Computer science,1
Computer graphics,Personal computer,1
Functional programming,Computer programming,1
Computer network,Communications protocol,1
Concurrency control,Computer science,1
Random walk,Graph theory,1
Computer vision,Analysis of algorithms,1
Algorithm,Integer,1
Information theory,Random variable,1
Propositional calculus,Logic,1
Mathematical model,Mathematics,1
Ordinary differential equation,Polynomial,1
Computer graphics,Algorithm,1
Object-oriented programming,Object (computer science),1
Model checking,Computer science,1
Software design,Programming language,1
Computer graphics,Graphics,1
Automated theorem proving,Mathematical induction,1
Game theory,Mathematical model,1
Undecidable problem,Algorithm,1
Cache coherence,Parallel computing,1
Analysis of algorithms,Computational science,1
Inheritance (object-oriented programming),Object (computer science),1
Software framework,Computer programming,1
Semidefinite programming,Linear programming,1
Logic programming,Computer programming,1
Computer network,Graph (mathematics),1
hypothesis testing,Data,1
Inheritance (object-oriented programming),Programming language,1
Kernel (computing),Operating system,1
Feature extraction,Algorithm,1
Network security,Security,1
Polynomial,Mathematics,1
User interface,Computer programming,1
Programming paradigm,Data structure,1
Lexical analysis,Regular language,1
Dynamic programming,Mathematics,1
Statistics,Data,1
Data warehouse,Data,1
Expert system,Artificial intelligence,1
Digital signature,Algorithm,1
Boundary value problem,Nonlinear system,1
Perl,Computer,1
Distributed computing,Computational problem,1
NP-complete,Computer science,1
Cryptanalysis,Cryptography,1
Relational model,Predicate logic,1
hypothesis testing,Probability,1
Dynamic programming,Computer science,1
Structured programming,Programming language,1
Distributed computing,Computer network,1
Natural language processing,Machine learning,1
Calculus,Algebra,1
C (programming language),Programming language,1
Imperative programming,Computer,1
Syntax,Natural language,1
Pushdown automata,Computability,1
Data type,Programming language,1
Relational database,Database,1
Software engineering,Computer,1
Statistical inference,Probability,1
Imperative programming,Computer science,1
Algorithm,Problem solving,1
Robotics,Computer programming,1
Hash table,Data (computing),1
Computational geometry,Mathematics,1
Robotics,Speech recognition,1
User interface design,Computer,1
Compiler,Regular expression,1
Parsing,Natural language,1
Amortized analysis,Computer science,1
Index (database),Relational database,1
Complexity,Mathematics,1
Hidden Markov model,Probability theory,1
Monte Carlo method,Integral,1
NP (complexity),Computer science,1
hypothesis testing,Statistical inference,1
Part-of-speech tagging,Natural language,1
Robot,Computation,1
Program analysis,Computer science,1
Queue (data structure),Array data structure,1
Turing machine,Mathematics,1
Numerical analysis,Approximation,1
Web server,Computer,1
File system,Operating system,1
Finite element method,Numerical analysis,1
Machine learning,Mathematical optimization,1
Inequality (mathematics),Integer,1
Database management system,Relational algebra,1
Design of experiments,hypothesis testing,1
C (programming language),Arithmetic,1
Computational geometry,Analysis of algorithms,1
Amortized analysis,"Best, worst and average case",1
Dynamic memory allocation,Array data structure,1
Question answering,Artificial intelligence,1
Combinatorics,Finite set,1
Software engineering,Computer science,1
Prolog,String (computer science),1
Communications protocol,Communication,1
Prolog,Logic programming,1
Divide and conquer algorithm,Algorithm design,1
Natural language processing,Algorithm design,1
Probability,Mathematics,1
Congestion control,Computer network,1
Martingale (probability theory),Probability theory,1
C++,Floating point,1
Neural network,Artificial intelligence,1
Cryptography,Information security,1
Algorithm,Computer science,1
Reinforcement learning,Machine learning,1
Economics,Mathematical optimization,1
Data warehouse,Data structure,1
Ordinary differential equation,Mathematics,1
HTML,Computer,1
Microcode,Assembly language,1
Cloud computing,Computer network,1
File system,Computing,1
Logic programming,Computer science,1
Network security,Computer security,1
Stochastic process,Randomness,1
Markov process,Conditional probability,1
Firewall (computing),Data,1
Firewall (computing),Computer security,1
Random graph,Probability theory,1
Coding theory,Computer science,1
System programming,Unix,1
Very long instruction word,Computer architecture,1
Routing,OSI model,1
Relational database,Relational model,1
Bayesian network,Random variable,1
Analysis of algorithms,Mathematics,1
C (programming language),Computing,1
Gradient descent,Algorithm,1
Denotational semantics,Programming language,1
Dynamic programming,Algorithm,1
Markov process,Probability theory,1
Concurrency (computer science),Computer science,1
Approximation algorithm,Mathematical optimization,1
Parsing,Algorithm,1
Programmer,Computer programming,1
Machine learning,Markov chain,1
Martingale (probability theory),Markov chain,1
Abstract data type,Integer,1
Data structure,Data (computing),1
Query language,Programming language,1
Algorithm,Mathematical induction,1
Relational database,Computer programming,1
Relational database,Analysis of algorithms,1
SQL,Database,1
Superscalar,Computer architecture,1
Sequence alignment,Probability,1
ML (programming language),Functional programming,1
Parametric polymorphism,Data type,1
Database design,Database,1
Internet,Computer network,1
Computational geometry,Computational science,1
Computational geometry,Computer graphics,1
Sufficient statistic,Statistical inference,1
Graphical model,Data,1
Computer graphics,Computer science,1
Regular language,Computability,1
Machine learning,Computer science,1
Social network,Graph theory,1
Numerical analysis,Eigenvalues and eigenvectors,1
Analysis of algorithms,Mathematical induction,1
Numerical analysis,Algorithm,1
Graphical model,Probability,1
Geometric modeling,Algorithm,1
Robotics,Mechanical engineering,1
Computer programming,Logic,1
Sentiment analysis,Machine learning,1
Parsing,Finite-state machine,1
Round-off error,Numerical analysis,1
Polymorphism (computer science),Programming language,1
Artificial intelligence,Reason,1
Speech recognition,Artificial intelligence,1
Kalman filter,Expected value,1
Transaction processing,Concurrency control,1
Concurrency (computer science),Operating system,1
Volume rendering,Rendering (computer graphics),1
Packet switching,Computer network,1
Tensor,Mathematics,1
Theoretical computer science,Computer science,1
World Wide Web,Computer,1
Parsing,Context-free language,1
Haskell (programming language),Scope (computer science),1
Graphical model,Machine learning,1
Linear algebra,Matrix (mathematics),1
Java (programming language),Computer,1
Control flow,Programming language,1
Algorithm,Logic,1
Mathematical optimization,Arithmetic,1
Assembly language,Instruction set,1
CPU cache,Computer architecture,1
Computational geometry,Algorithm design,1
Data mining,Database,1
Graph (mathematics),Mathematics,1
Computer animation,Computer graphics,1
Imperative programming,Control flow,1
Graphical user interface,Computer science,1
Decision theory,Statistical inference,1
Python (programming language),Imperative programming,1
Inter-process communication,Operating system,1
Software engineering,Computational complexity theory,1
Query optimization,SQL,1
Hidden Markov model,Artificial intelligence,1
Knowledge representation and reasoning,Algorithm design,1
Spanning tree,Graph theory,1
Algorithm,Computability,1
Turing machine,Automata theory,1
Machine learning,Statistical inference,1
Formal language,String (computer science),1
Data mining,Artificial intelligence,1
Pushdown automata,Finite-state machine,1
Concurrency (computer science),Parallel computing,1
Markov chain,Probability theory,1
Neural network,Algorithm,1
Divide and conquer algorithm,Recursion,1
Symbol table,Compiler,1
Rendering (computer graphics),Shading,1
Monte Carlo method,Expected value,1
Probability theory,Mathematics,1
Numerical analysis,Mathematics,1
Java (programming language),Programming language,1
Haskell (programming language),Programming language,1
Variable (computer science),Programming language,1
Computational problem,Computer science,1
System programming,Operating system,1
Discrete mathematics,Mathematics,1
Randomized algorithm,Computational complexity theory,1
Artificial intelligence,Logic,1
Large deviations theory,Random variable,1
