A,B,result,RefD
Cluster analysis,Fuzzy clustering,0,-0.484307522
Sample (statistics),Type I and type II errors,0,-0.606381329
Probability density function,Bayesian network,0,-0.10155694
Conditional probability distribution,Conditional probability,1,0.204376983
Bayes' theorem,Posterior probability,0,-0.320546627
Cluster analysis,Data analysis,1,-0.09828758
Spectral clustering,Arithmetic mean,1,0.032592881
Mixture model,Arithmetic mean,1,0.042904954
Standard deviation,Mixture model,0,-0.105137246
Machine learning,Bayesian network,0,0.152753769
Principal component analysis,Data matrix (multivariate statistics),0,-0.017036973
Mutation (genetic algorithm),Machine learning,0,0.178577451
Artificial neural network,Regression analysis,0,0.025973741
Poisson regression,Regression analysis,1,0.310183993
Single-linkage clustering,Correlation and dependence,1,0.033189077
K-means clustering,Fuzzy clustering,0,-0.534158781
DBSCAN,Data type,0,0.00931987
Maximum likelihood,Prior probability,0,0.429309419
Level of measurement,Central tendency,1,0.505362676
Conditional probability,Expectation–maximization algorithm,0,-0.061738759
Likelihood function,Poisson regression,0,-0.140666326
Boosting (machine learning),Probability density function,1,0.048770711
Ensemble learning,AdaBoost,0,-0.183122904
Conditional probability distribution,Maximum likelihood,0,-0.007685921
Query language,Data mining,0,0.040583854
OPTICS algorithm,Correlation and dependence,1,0.038602981
Statistical hypothesis testing,Type I and type II errors,0,-0.621057733
Joint probability distribution,Random forest,0,-0.039525285
Statistical hypothesis testing,Precision and recall,0,-0.163590889
Arithmetic mean,K-medoids,0,0.00479981
Decision tree learning,Data analysis,0,0.040435602
Correlation and dependence,Arithmetic mean,1,0.479665056
Likelihood function,Probability density function,1,-0.036869082
Multiclass classification,Statistical classification,1,0.69957946
Minimum description length,Prior probability,0,0.607325612
Naive Bayes classifier,Standard deviation,1,0.107393328
Principal component analysis,Data mining,0,-0.141169129
Mixture model,Maximum likelihood,0,0.008076704
Data analysis,OPTICS algorithm,0,-0.052652215
Clustering high-dimensional data,Cluster analysis,1,0.323452892
Correlation and dependence,Data mining,0,0.020777724
K-means clustering,Standard deviation,1,0.016129905
Confidence interval,Statistical hypothesis testing,0,0.216815551
Expectation–maximization algorithm,Probability density function,1,0.106398635
Statistical significance,Confidence interval,1,0.501423586
Expectation–maximization algorithm,Conditional probability,1,0.061738759
Decision tree,AdaBoost,0,-0.046078993
Expectation–maximization algorithm,K-means clustering,0,-0.05074648
Anomaly detection,Cluster analysis,1,0.171354379
Decision tree learning,Joint probability distribution,1,0.023972805
DBSCAN,Cluster analysis,1,0.446483053
Probability density function,Feedforward neural network,0,-0.020708013
Interquartile range,Statistical dispersion,1,0.018926752
Standard deviation,K-means clustering,0,-0.016129905
Machine learning,Backpropagation,0,-0.387091722
Expectation–maximization algorithm,Cluster analysis,0,-0.063783185
Statistical population,Statistical hypothesis testing,0,0.327763536
Central tendency,Interquartile range,0,-0.050847162
OPTICS algorithm,Data mining,0,0.442753463
Signal-to-noise ratio,Standard deviation,0,0.109355113
Null hypothesis,Type I and type II errors,0,-0.088358541
F1 score,Standard deviation,1,0.140448465
Decision tree learning,Random forest,0,-0.1020251
Maximum likelihood,Linear regression,0,0.448507547
Pruning (decision trees),Joint probability distribution,1,0.0
Anomaly detection,Outlier,1,-0.040849521
Backpropagation,Feedforward neural network,0,-0.680850562
Expectation–maximization algorithm,Mixture model,0,0.020956721
OPTICS algorithm,Arithmetic mean,1,0.068724223
Conditional independence,Joint probability distribution,0,0.51685291
Clustering high-dimensional data,Standard deviation,1,0.063501964
Fitness function,Genetic algorithm,1,-0.076746747
F1 score,Confidence interval,1,0.1236408
Backpropagation,Gradient descent,0,0.107507337
Stepwise regression,Linear regression,0,0.370200483
Standard deviation,Confidence interval,0,-0.135489561
Data mining,Association rule learning,1,-0.253707041
Cluster analysis,Artificial neural network,0,0.032331728
Anomaly detection,Statistical classification,0,0.235513469
Naive Bayes classifier,Correlation and dependence,1,0.00689665
Mixture model,Standard deviation,1,0.105137246
Probability density function,K-means clustering,0,-0.026240006
Statistical significance,Null hypothesis,1,0.020837197
Data mining,Arithmetic mean,1,0.001813795
Decision tree,Statistical classification,1,0.145640273
Single-linkage clustering,Standard deviation,1,0.033786426
Principal component analysis,Regression analysis,0,-0.065621247
Joint probability distribution,Feedforward neural network,0,0.003390779
Cluster analysis,Mixture model,0,-0.060181776
Artificial neural network,Expert system,0,-0.026153025
Probability density function,Decision tree learning,0,-0.03002544
Statistical hypothesis testing,F1 score,0,-0.135157215
Mixture model,Data analysis,1,0.011166568
OPTICS algorithm,Data analysis,1,0.052652215
Likelihood function,Conditional probability distribution,1,-0.139578994
Posterior probability,Statistical classification,0,-0.401319439
Arithmetic mean,Mixture model,0,-0.042904954
Random forest,Ensemble learning,1,0.132400409
Cluster analysis,Clustering high-dimensional data,0,-0.323452892
Student's t-test,Statistical population,1,-0.284209199
Standard deviation,OPTICS algorithm,0,-0.078498007
Association rule learning,Data mining,0,0.253707041
Statistical hypothesis testing,Student's t-test,0,-0.058258878
Random forest,Bootstrap aggregating,1,-0.118414554
Likelihood function,Prior probability,0,0.222508662
Spectral clustering,Cluster analysis,1,0.127730888
Arithmetic mean,Cluster analysis,0,0.406582162
Single-linkage clustering,Data analysis,1,0.034740708
Pruning (decision trees),Decision tree learning,1,0.258920333
Mode (statistics),Central tendency,0,0.008963529
Gradient descent,Nonlinear system,0,-0.009425196
Boosting (machine learning),Data mining,0,0.289193198
Probability density function,Maximum likelihood,0,-0.142155377
Correlation and dependence,Standard deviation,1,0.511175327
Poisson regression,Maximum likelihood,0,-0.409227161
Hyperplane,Support vector machine,0,-0.026117359
Data analysis,K-means clustering,0,-0.005477217
DBSCAN,Arithmetic mean,1,0.056949718
Central tendency,Arithmetic mean,1,0.008446716
Naive Bayes classifier,Histogram,0,0.056747943
Genetic algorithm,Fitness function,0,0.076746747
Support vector machine,Hyperplane,1,0.026117359
Support vector machine,Statistical classification,1,0.324034081
Cluster analysis,Hierarchical clustering,0,-0.358454643
Expectation–maximization algorithm,Bayesian network,0,-0.00314346
Boosting (machine learning),Support vector machine,0,0.147631483
Principal component analysis,Standard deviation,1,-0.119391092
Principal component analysis,Outlier,0,-0.13719129
Correlation and dependence,K-means clustering,0,0.008338343
Conditional probability,Poisson regression,0,-0.009210575
Joint probability distribution,Probability density function,1,0.297058314
Correlation and dependence,Mixture model,0,0.001373366
Maxima and minima,Gradient descent,0,-0.047233178
Bayesian network,Likelihood function,1,0.178928648
Median,Level of measurement,0,-0.521551099
Apriori algorithm,Conditional probability,1,0.070241049
Random forest,Bootstrapping (statistics),1,0.120303968
Feedforward neural network,Linear separability,0,-0.018592307
Naive Bayes classifier,Conditional probability,1,0.137661138
Decision tree learning,Bootstrap aggregating,0,-0.231947618
Mixture model,Histogram,0,0.049113998
K-medoids,Outlier,0,0.062895311
Pruning (decision trees),Probability density function,1,0.043631329
Conditional probability,Data mining,0,-0.002639691
Data analysis,Clustering high-dimensional data,0,-0.070426145
Ensemble learning,Boosting (machine learning),0,-0.155815137
Probability density function,Multiclass classification,0,-0.048524343
Prior probability,Conditional probability,0,0.060757607
Mixture model,Cluster analysis,1,0.060181776
Maximum likelihood,Probability density function,1,0.142155377
Support vector machine,Probability density function,1,0.03602709
Stepwise regression,F-test,0,0.26089573
Hierarchical clustering,Standard deviation,1,0.064159343
Maximum likelihood,Bayesian network,0,0.000747482
Null hypothesis,Statistical significance,0,-0.020837197
Statistical hypothesis testing,Standard deviation,1,-0.094124112
Anomaly detection,Standard deviation,1,0.040313722
Statistical classification,Decision tree learning,0,-0.36677575
OPTICS algorithm,Cluster analysis,1,0.49999131
K-means clustering,Probability density function,1,0.026240006
Type I and type II errors,Null hypothesis,1,0.088358541
Arithmetic mean,Anomaly detection,0,-0.022234994
Multiclass classification,Joint probability distribution,1,0.059749899
Stepwise regression,Regression analysis,1,0.427771374
Arithmetic mean,Central tendency,0,-0.008446716
Backpropagation,Statistical classification,1,0.316256577
Decision tree learning,Decision tree model,0,0.006546023
Artificial neural network,Data processing,0,-0.02076958
Random forest,Standard deviation,0,0.062810633
Cluster analysis,Arithmetic mean,1,-0.406582162
Statistical population,F1 score,0,-0.180734058
Correlation and dependence,Clustering high-dimensional data,0,-0.069069685
Stepwise regression,Confidence interval,0,0.292863559
Machine learning,Boosting (machine learning),0,-0.457700476
Statistical hypothesis testing,Bayes' theorem,0,-0.101071073
Conditional probability,Apriori algorithm,0,-0.070241049
Poisson regression,Linear regression,0,0.143892099
Machine learning,Random forest,0,-0.370098227
DBSCAN,Hierarchical clustering,0,0.087015419
Statistical hypothesis testing,Posterior probability,0,0.194966283
Conditional probability,Mixture model,0,-0.080375885
OPTICS algorithm,Outlier,0,0.007273152
Correlation and dependence,Anomaly detection,0,-0.001574579
Conditional probability,Conditional probability distribution,0,-0.204376983
Cluster analysis,Data mining,0,0.011394176
Machine learning,Artificial neural network,0,0.021783924
Probability density function,AdaBoost,0,-0.018027049
Level of measurement,Mode (statistics),1,0.502310587
Decision tree learning,Discretization,0,-0.000608067
Statistical population,Data mining,0,0.004932672
Fuzzy clustering,Correlation and dependence,1,0.040789289
Fuzzy clustering,Arithmetic mean,1,0.095644093
Machine learning,Multiclass classification,0,-0.749350106
Interquartile range,Outlier,0,-0.057161564
Natural selection,Fitness function,0,-0.07005398
Statistical population,Confidence interval,0,0.114877335
Cluster analysis,Precision and recall,0,-0.323994893
Machine learning,Naive Bayes classifier,0,-0.029426864
Natural selection,Genetic algorithm,0,-0.026650736
Expectation–maximization algorithm,Missing data,0,0.089475091
Bayesian network,Machine learning,1,-0.152753769
Correlation and dependence,DBSCAN,0,-0.024338327
K-means clustering,Cluster analysis,1,-0.00853915
K-means clustering,Machine learning,1,-0.010169644
Machine learning,Joint probability distribution,1,-0.028988389
Naive Bayes classifier,Data mining,0,-0.086823888
Bayesian network,Maximum likelihood,1,-0.000747482
Clustering high-dimensional data,Arithmetic mean,1,0.04382243
Confidence interval,Maximum likelihood,0,-0.441477651
Probability density function,Expectation–maximization algorithm,0,-0.106398635
Random forest,Decision tree learning,1,0.1020251
Conditional probability,Posterior probability,0,-0.200022647
Confidence interval,Median,0,0.123275293
Data mining,Anomaly detection,1,-0.180214327
Data analysis,Data mining,0,0.027241108
Probability density function,Artificial neural network,0,-0.008834626
Posterior probability,Bayesian network,0,-0.126567383
Statistical population,Sampling (statistics),0,0.158931385
Likelihood function,Regression analysis,0,0.119820875
Type I and type II errors,Statistical population,1,0.602836726
Precision and recall,Type I and type II errors,1,0.085175699
Student's t-test,Statistical hypothesis testing,1,0.058258878
Principal component analysis,Linear regression,0,-0.098129611
Support vector machine,Decision tree learning,0,-0.002962766
Mixture model,Statistical population,0,0.056820413
Arithmetic mean,Regression analysis,0,0.358821631
Boosting (machine learning),Ensemble learning,1,0.155815137
Precision and recall,Statistical population,1,0.183990355
F1 score,Precision and recall,1,0.153221961
Arithmetic mean,Principal component analysis,0,0.326849018
Statistical population,Sample (statistics),0,0.158931385
Data mining,Conditional probability,1,0.002639691
Arithmetic mean,Level of measurement,0,-0.505520934
Standard deviation,DBSCAN,0,-0.065856174
Standard deviation,Data mining,0,-0.034281137
Backpropagation,Joint probability distribution,1,0.015342167
K-medoids,Minkowski distance,0,0.029660048
Least squares,Regression analysis,1,0.423996288
Machine learning,Feedforward neural network,0,-0.724287151
Correlation and dependence,Fuzzy clustering,0,-0.040789289
Correlation and dependence,OPTICS algorithm,0,-0.038602981
Boosting (machine learning),Cross-validation (statistics),0,0.150377163
Prior probability,Bayesian network,0,-0.149613307
OPTICS algorithm,Standard deviation,1,0.078498007
Random forest,Joint probability distribution,1,0.039525285
Statistical dispersion,Interquartile range,0,-0.018926752
Statistical hypothesis testing,Confidence interval,1,-0.216815551
Minimum description length,Maximum likelihood,0,0.03721409
Single-linkage clustering,Arithmetic mean,1,0.032184319
F1 score,Statistical hypothesis testing,1,0.135157215
Interquartile range,Quartile,1,-0.437210109
Interquartile range,Median,1,0.257907316
Bayes' theorem,Conditional probability distribution,1,-0.119989785
Decision tree model,Decision tree,1,0.020403243
Interquartile range,Histogram,0,0.077435016
Machine learning,K-means clustering,0,0.010169644
Bootstrap aggregating,Random forest,0,0.118414554
Artificial neural network,Feedforward neural network,0,-0.74722238
Conditional probability,Bayes' theorem,0,0.286460534
Boosting (machine learning),Joint probability distribution,1,0.041158729
Random forest,Boosting (machine learning),0,-0.020824526
Backpropagation,Linear separability,0,-0.123010625
Bayesian network,Prior probability,1,0.149613307
Correlation and dependence,K-medoids,0,0.003795052
Joint probability distribution,Bayesian network,0,-0.052766345
Arithmetic mean,Correlation and dependence,0,-0.479665056
Sample (statistics),Student's t-test,0,0.073036092
Null hypothesis,Student's t-test,0,0.561306702
Association rule learning,Data analysis,0,0.009303126
Conditional probability distribution,Likelihood function,0,0.139578994
Posterior probability,Conditional probability,1,0.200022647
Stepwise regression,Data mining,0,0.069143768
Arithmetic mean,OPTICS algorithm,0,-0.068724223
Decision tree model,Statistical classification,1,0.012212578
Precision and recall,Information retrieval,1,0.121930555
Mixture model,K-means clustering,0,0.036216636
Precision and recall,Web search engine,0,-0.005652958
Mode (statistics),Level of measurement,0,-0.502310587
Decision tree,Association rule learning,0,-0.003902873
Principal component analysis,Signal-to-noise ratio,0,-0.03731938
Outlier,Anomaly detection,0,0.040849521
Statistical significance,Statistical hypothesis testing,1,0.489961362
Probability density function,Backpropagation,0,-0.022933425
Likelihood function,Statistical model,0,-0.170253136
Data analysis,K-medoids,0,-0.023047091
Hierarchical clustering,Cluster analysis,1,0.358454643
Joint probability distribution,Artificial neural network,0,-0.009103353
Bayesian network,Conditional probability distribution,1,0.002870661
Expectation–maximization algorithm,Fuzzy clustering,0,-0.579541559
Naive Bayes classifier,Conditional independence,1,0.06042014
Arithmetic mean,K-means clustering,0,-0.013453173
Random forest,Expert system,0,-0.015044075
Confidence interval,Type I and type II errors,0,-0.615041486
Level of measurement,Standard deviation,1,0.534483232
Data analysis,Mixture model,0,-0.011166568
Regression analysis,Stepwise regression,0,-0.427771374
Data mining,Confidence interval,1,0.013978667
Sampling (statistics),Statistical population,1,-0.158931385
Type I and type II errors,Confidence interval,1,0.615041486
Pruning (decision trees),Artificial neural network,0,0.216782608
Cluster analysis,Confusion matrix,0,-0.042189493
Data mining,Hierarchical clustering,0,-0.261295302
Regression analysis,Statistical dispersion,0,-0.380770238
Probability density function,Conditional independence,0,-0.099223446
Statistical classification,Pruning (decision trees),0,-0.318416954
Genetic algorithm,Natural selection,1,0.026650736
Biclustering,Correlation and dependence,1,0.045257251
Random forest,Statistical classification,1,0.434977833
Mutation (genetic algorithm),Natural selection,1,0.121586943
Probability density function,Pruning (decision trees),0,-0.043631329
Standard deviation,Precision and recall,0,-0.137186498
Machine learning,Decision tree learning,0,-0.254850591
Correlation and dependence,Biclustering,0,-0.045257251
Decision tree learning,Decision tree,1,0.054316924
OPTICS algorithm,Anomaly detection,0,0.313173092
Expectation–maximization algorithm,Conditional probability distribution,1,0.035702944
Biclustering,Data mining,0,0.037657089
AdaBoost,Machine learning,1,0.381036621
Standard deviation,F1 score,0,-0.140448465
Maximum likelihood,Naive Bayes classifier,0,-0.024754641
Confidence interval,F1 score,0,-0.1236408
Statistical population,Type I and type II errors,0,-0.602836726
Correlation and dependence,Naive Bayes classifier,0,-0.00689665
Anomaly detection,Ensemble learning,0,-0.054300938
Stepwise regression,Model selection,0,0.356414841
Statistical classification,Sensitivity and specificity,0,-0.217497094
Statistical population,Statistical significance,0,-0.476371326
False positives and false negatives,Sensitivity and specificity,0,0.24242622
Hyperplane separation theorem,Support vector machine,0,-0.017243026
Anomaly detection,Data analysis,1,0.003110258
Central tendency,Mode (statistics),1,-0.008963529
Random forest,Mode (statistics),0,0.062047337
Sensitivity and specificity,Statistical significance,0,0.031903847
Precision and recall,Statistical classification,1,0.310469435
Sample (statistics),Statistical hypothesis testing,0,0.116808443
Biclustering,Mode (statistics),0,0.031656632
Cluster analysis,Biclustering,0,-0.081837859
Joint probability distribution,K-means clustering,0,-0.012502803
Statistical hypothesis testing,Sensitivity and specificity,0,-0.143004373
DBSCAN,Standard deviation,1,0.065856174
Genetic algorithm,Mutation (genetic algorithm),0,-0.245715516
Boosting (machine learning),Decision tree,0,0.055776293
Cluster analysis,OPTICS algorithm,0,-0.49999131
K-means clustering,Joint probability distribution,1,0.012502803
Machine learning,Probability density function,1,-0.071154145
Standard deviation,Principal component analysis,0,0.119391092
Data analysis,Hierarchical clustering,0,-0.069634874
Probability density function,Mixture model,0,-0.12448896
Cluster analysis,Standard deviation,1,-0.212536787
Naive Bayes classifier,Probability density function,1,0.116536568
Statistical hypothesis testing,Statistical model,0,-0.250044303
Statistical hypothesis testing,Null hypothesis,1,-0.555143508
Poisson regression,Probability density function,1,-0.040271089
Hierarchical clustering,Biclustering,0,-0.012494358
Genetic algorithm,Cluster analysis,0,0.005837776
Receiver operating characteristic,Statistical classification,1,0.392606966
Spectral clustering,Standard deviation,1,0.034194988
Naive Bayes classifier,Statistical classification,1,0.128835132
Conditional probability,Pruning (decision trees),0,0.0
Conditional probability distribution,Bayesian network,0,-0.002870661
Statistical hypothesis testing,Model selection,0,-0.164146856
Arithmetic mean,Biclustering,0,-0.03170394
Mixture model,Posterior probability,0,0.029498783
Central tendency,Median,1,0.186450328
Data mining,Cluster analysis,1,-0.011394176
Hyperplane,Linear separability,0,-0.281016067
Web search engine,Data mining,0,0.012486144
Positive and negative predictive values,False positives and false negatives,1,-0.085071538
Precision and recall,Statistical hypothesis testing,1,0.163590889
Bayesian network,Conditional probability,1,0.13053827
Backpropagation,Probability density function,1,0.022933425
Principal component analysis,Arithmetic mean,1,-0.326849018
Bootstrapping (statistics),Random forest,0,-0.120303968
Correlation and dependence,Cluster analysis,0,0.542027303
DBSCAN,Correlation and dependence,1,0.024338327
Joint probability distribution,Pruning (decision trees),0,0.0
Standard deviation,Type I and type II errors,0,-0.613805468
Conditional independence,Conditional probability,1,0.196378945
Stepwise regression,Ensemble learning,0,0.056790713
Likelihood function,Expectation–maximization algorithm,0,-0.077941495
Type I and type II errors,Sample (statistics),1,0.606381329
Regression analysis,Data mining,0,-0.082012295
Support vector machine,Classification rule,0,-0.172406963
Arithmetic mean,Single-linkage clustering,0,-0.032184319
K-medoids,Data analysis,1,0.023047091
Data mining,Sample (statistics),1,0.02235686
Confidence interval,Statistical significance,0,-0.501423586
Bayesian network,Probability density function,1,0.10155694
Decision tree learning,Data mining,0,0.194389788
Sensitivity and specificity,Precision and recall,0,-0.061014305
Principal component analysis,Correlation and dependence,1,-0.505582201
Cluster analysis,Single-linkage clustering,0,-0.323409556
Support vector machine,Regression analysis,0,0.251152807
Feedforward neural network,Artificial neural network,1,0.74722238
Precision and recall,Arithmetic mean,0,0.102583397
Joint probability distribution,Multiclass classification,0,-0.059749899
Statistical classification,Receiver operating characteristic,0,-0.392606966
Gradient descent,Maxima and minima,1,0.047233178
Probability density function,Support vector machine,0,-0.03602709
Probability density function,Median,0,0.094162808
Anomaly detection,Data mining,0,0.180214327
