A,B,result
Large_deviations_theory,Fourier_analysis,0
Message_Passing_Interface,Synchronization,1
Robot,Problem_solving,0
Economics,Linear_algebra,1
Poisson_distribution,Superscalar,0
Lexical_analysis,String_(computer_science),1
Variable_(computer_science),Relational_algebra,0
Debugging,Control_flow,1
Newton's_method,Run_time_(program_lifecycle_phase),0
Abstraction_(computer_science),Modular_programming,0
Programmer,Cluster_analysis,0
Parametric_polymorphism,Data_type,1
Structured_programming,Cache_coherence,0
Java_(programming_language),Formal_verification,0
Algorithm_design,Mathematical_induction,1
MATLAB,Data_analysis,0
Lisp_(programming_language),Generic_programming,1
Scientific_visualization,Natural_language,0
Analysis_of_algorithms,Linear_system,0
Martingale_(probability_theory),Assembly_language,0
Java_(programming_language),Computing,1
Java_(programming_language),Parsing,1
Recursion,Discrete_mathematics,1
Recursively_enumerable_set,CPU_cache,0
Quantum_cryptography,Large_deviations_theory,0
First-order_logic,Approximation_algorithm,0
Program_analysis,Autonomous_robot,0
ML_(programming_language),Profiling_(computer_programming),0
Calculus_of_variations,Mathematics,1
Least_squares,Software_framework,0
Type_system,Computability,1
Computability,Logic,1
Computational_chemistry,Computational_complexity_theory,1
User_interface_design,Rendering_(computer_graphics),0
Lisp_(programming_language),Graph_theory,1
Profiling_(computer_programming),Computation,1
Linked_list,Multi-core_processor,0
Relational_database,Data,1
SQL,Number_theory,1
Statistical_inference,Abstract_data_type,0
Unix,Arithmetic,1
Assembly_language,Programming_language,1
NP-complete,Foundations_of_mathematics,1
Lock_(computer_science),Computer_science,0
Uncertainty,Floating_point,0
Microcode,Programming_paradigm,0
Question_answering,Computational_complexity_theory,1
Formal_methods,Analysis_of_algorithms,1
Neural_network,Expected_value,1
Hash_table,Data_(computing),1
Spanning_tree,C_(programming_language),0
P_versus_NP_problem,Computability,1
P_versus_NP_problem,Robot,0
Public-key_cryptography,Randomness,0
Lisp_(programming_language),Discrete_mathematics,1
Embedded_system,Recursively_enumerable_set,0
Inequality_(mathematics),Traffic_analysis,0
Lisp_(programming_language),Number_theory,1
Neural_network,Computation,1
Microcode,Graph_coloring,0
Boundary_value_problem,Automatic_programming,0
B-tree,Data_type,1
Hash_table,First-order_logic,0
Web_service,Operating_system,0
Flow_network,Compiler,0
Kinematics,Geometric_modeling,0
Undecidable_problem,Complexity,1
Symbol_table,Least_squares,0
Software_engineering,Perl,0
Game_theory,Linear_algebra,1
Computational_learning_theory,Inter-process_communication,0
Computer_vision,Image_processing,1
Tensor,Turing_machine,0
Routing,OSI_model,1
Machine_translation,Atomicity_(database_systems),0
Bioinformatics,Tensor,0
Stack_(data_structure),Statistical_inference,0
Amortized_analysis,"Best,_worst_and_average_case",1
Computational_geometry,Computer_animation,0
Volume_rendering,Computer,1
Interpolation,Object_(computer_science),0
Linear_programming,Computer_science,1
Knowledge_representation_and_reasoning,Mathematics,1
Cryptography,Mathematics,1
Parsing,Discrete_mathematics,1
Memory_hierarchy,Divide_and_conquer_algorithm,0
Linear_programming,Mathematics,1
World_Wide_Web,Relational_database_management_system,0
Complexity,Information_theory,0
Dynamic_programming,Iterative_method,1
Poisson_distribution,Partial_differential_equation,0
Abstraction_(computer_science),Arithmetic,1
Divide_and_conquer_algorithm,Information_assurance,0
Application_software,Statistics,0
Suffix_tree,Algorithm,1
Software_development,High-level_programming_language,1
Hidden_Markov_model,Computational_science,1
Machine_translation,Analysis_of_algorithms,0
PSPACE,Integer,1
Algorithm_design,Number_theory,1
Context-free_language,Computability,0
Game_theory,Arithmetic,1
Finite_element_method,Integer,1
Modular_programming,Decision_theory,0
Newton's_method,Numerical_analysis,1
Graphical_model,Computer,1
Automated_theorem_proving,Computer_graphics,0
Automatic_programming,Semidefinite_programming,0
Scientific_modelling,Security,0
Routing,PageRank,0
Robotics,Kinematics,1
Program_optimization,Foundations_of_mathematics,1
Parallel_computing,Server_(computing),0
NP-complete,Polynomial,1
Concurrency_control,Mathematical_induction,1
User_interface,Approximation,0
Logic_programming,Foundations_of_mathematics,1
Polymorphism_(computer_science),Abstract_data_type,1
Computational_geometry,Discrete_mathematics,1
Haskell_(programming_language),Data_structure,1
Mathematical_induction,Inheritance_(object-oriented_programming),0
User_interface_design,Computer,1
Amortized_analysis,Computer_science,1
Neural_network,Nonlinear_system,0
SQL,Interactivity,0
Memory_hierarchy,Programmer,0
Finite_difference,Profiling_(computer_programming),0
Graphical_model,Machine_learning,1
Computer_security,Ordinary_differential_equation,0
Reinforcement_learning,Logic,1
Virtual_memory,Operating_system,1
Nonlinear_system,Type_system,0
Probability_theory,Mathematics,1
Dynamic_programming,Introduction_to_Algorithms,1
Firewall_(computing),Data_(computing),0
Model_of_computation,Stack_(data_structure),0
Algorithm,Computability,1
Software_design,P_versus_NP_problem,0
Assembly_language,Computing,1
Distributed_computing,Theoretical_computer_science,1
Randomized_algorithm,Discrete_mathematics,1
Type_system,Information_security,0
Semidefinite_programming,Graph_coloring,0
Linear_algebra,Integer,1
Integer,Encryption,0
Distributed_computing,Polynomial,1
Relational_database,Mathematics,1
Linear_programming,Input/output,0
Algorithm_design,Linked_list,0
Robotics,Computer,1
Artificial_intelligence,Computation,1
Combinatorics,Regular_language,0
Logic_programming,Arithmetic,1
Computer_graphics,Computational_complexity_theory,1
Programming_style,Computing,1
System_call,Central_processing_unit,1
Digital_signature,Combinatorics,1
Central_processing_unit,Denotational_semantics,0
Estimation_theory,Mathematics,1
Randomness,Scheduling_(computing),0
Parsing,Formal_grammar,1
Complexity_class,Mathematics,1
Feature_extraction,Undecidable_problem,0
Geometric_modeling,Graphics_processing_unit,0
Public-key_cryptography,Combinatorics,1
Generic_programming,Polymorphism_(computer_science),0
Communications_protocol,Computation,1
Artificial_intelligence,Problem_solving,1
Kernel_(computing),Central_processing_unit,1
Large_deviations_theory,Probability_theory,1
Genetic_algorithm,Linear_system,0
Symbol_table,Computer_science,1
3D_modeling,Economics,0
Atomicity_(database_systems),Operating_system,1
First-order_logic,Dynamic_memory_allocation,0
Reinforcement_learning,Interaction_design,0
Combinatorics,Telecommunications_network,0
Undecidable_problem,Computing,1
Concurrency_(computer_science),Entropy,0
Graphical_model,Database_transaction,0
Hidden_Markov_model,Probability_theory,1
Quantum_cryptography,Mathematical_induction,0
Rendering_(computer_graphics),Compiler,0
Query_optimization,Web_browser,0
Inheritance_(object-oriented_programming),Computational_problem,0
C++,Computer_programming,1
Robotics,Mechanical_engineering,1
Transaction_processing,Relational_algebra,1
Image_analysis,Control_flow,0
Index_(database),Database,1
Programming_language,Computing,1
Communications_protocol,Algorithm,1
Bioinformatics,Computer_science,1
Central_processing_unit,Traffic_analysis,0
Index_(database),Computer,1
Predicate_logic,Pattern_recognition,0
Variable_(computer_science),Logic,1
JavaScript,Arithmetic,1
Digital_electronics,Probability_theory,0
Algebra,Formal_language,0
Computer_programming,Graph_theory,1
Virtual_reality,Graphical_user_interface,0
String_(computer_science),Very_long_instruction_word,0
Computational_geometry,Internet_Protocol_Suite,0
Integral,Mathematics,1
Statistical_hypothesis_testing,Uncertainty,1
Natural_language,Server_(computing),0
Quantum_mechanics,Recursion_(computer_science),0
Database_transaction,Sufficient_statistic,0
Geometry,Web_browser,0
Random_graph,Web_browser,0
Atomicity_(database_systems),MapReduce,0
Virtual_memory,Memory_hierarchy,1
Analysis_of_algorithms,Computational_problem,1
File_system,Computational_complexity_theory,0
Approximation_algorithm,Discrete_mathematics,1
String_searching_algorithm,Iterative_method,1
Computer_graphics,Digital_electronics,1
Kalman_filter,Transaction_processing,0
Query_language,Computability,1
Database_management_system,Probability_theory,0
Automated_planning_and_scheduling,Computer_programming,1
Query_language,Knowledge_representation_and_reasoning,0
Number_theory,Security,0
Microcode,Digital_electronics,1
Software_engineering,Tensor,0
Computing,Exponential_family,0
File_system,Application_programming_interface,0
Cryptography,Generic_programming,0
Hidden_Markov_model,C++,0
SQL,Computer_science,1
Undecidable_problem,Combinatorics,1
Application_software,Formal_methods,0
Haskell_(programming_language),Computer_programming,1
Finite_difference,Numerical_analysis,1
Correlation_and_dependence,Data,1
Embedded_system,Memory_management,0
Randomized_algorithm,Asymptotic_analysis,0
Statistics,Mathematics,1
Discrete_mathematics,HTML,0
Complexity,Semantics_of_programming_languages,0
System_call,Expert_system,0
Recommender_system,Relational_algebra,0
Object-oriented_programming,Cache_coherence,0
P_versus_NP_problem,Graph_theory,1
Stack_(data_structure),Continuous_function,0
Application_programming_interface,Computer_programming,1
Data_mining,Polynomial,1
Bayesian_network,Economics,0
Unsupervised_learning,Probability,1
Volume_rendering,Computer_science,1
Web_search_engine,Logic,1
Recursively_enumerable_set,Polynomial,1
Exponential_family,Regular_language,0
Ray_tracing_(graphics),Graphical_model,0
Interaction_design,OSI_model,0
Cryptography,Algebra,1
Garbage_collection_(computer_science),Computer,1
Database_management_system,Operating_system,1
Distributed_algorithms,Foundations_of_mathematics,1
Compiler_optimization,Computer_programming,1
Database_design,Hash_table,0
Sentiment_analysis,Algorithm,1
Distributed_computing,Central_processing_unit,1
Computer_network,Computer_science,1
Question_answering,Computational_science,1
Logic_programming,Higher-order_function,0
Recursion_(computer_science),Programming_paradigm,0
Geometric_modeling,Computer_graphics,1
Haskell_(programming_language),Iterative_method,0
Formal_methods,Combinatorics,1
Superscalar,Thread_(computer_science),1
Propositional_calculus,Game_theory,0
Big_data,Mathematics,1
Statistical_inference,Congestion_control,0
C++,Object-oriented_programming,1
MapReduce,Bayesian_network,0
Malware,Rendering_(computer_graphics),0
Multiplication,Foundations_of_mathematics,1
Divide_and_conquer_algorithm,Mathematics,1
Dynamic_memory_allocation,Boundary_value_problem,0
Data_analysis,Foundations_of_mathematics,0
Round-off_error,Hidden_line_removal,0
Software_design,Mathematical_optimization,0
Web_search_engine,Abstraction_(computer_science),1
Imperative_programming,3D_computer_graphics,0
Machine_learning,Linear_algebra,1
Digital_signature,Computer_science,1
Traffic_analysis,Mathematics,1
Flow_network,Tensor,0
Software_testing,Algorithm,1
Firewall_(computing),Speech_recognition,0
Scientific_modelling,Shared_memory,0
Bioinformatics,Communications_protocol,0
Garbage_collection_(computer_science),Assembly_language,0
Pipeline_(computing),Data_analysis,0
Graphics_processing_unit,Computational_learning_theory,0
Type_system,Automata_theory,1
Statistics,Integral,0
Artificial_intelligence,Computational_problem,1
Feature_extraction,Formal_grammar,0
Discrete_mathematics,Mathematical_proof,1
Computer_animation,Question_answering,0
Time_complexity,Polynomial,1
Computational_geometry,Iterative_method,1
Software_framework,Query_optimization,0
Embedded_system,Bayesian_network,0
Machine_translation,Lisp_(programming_language),0
NP-complete,Iterative_method,1
C++,Arithmetic,1
Information_theory,Array_data_structure,0
Markov_chain,Uncertainty,0
Query_language,Computer_programming,1
Complexity,Gradient_descent,0
Data_warehouse,Data_structure,1
String_searching_algorithm,JavaScript,0
Randomized_algorithm,Abstraction_(computer_science),1
Cryptography,Combinatorics,1
Bioinformatics,Mathematical_induction,1
Object_(computer_science),Computer_software,0
Pattern_matching,Monte_Carlo_method,0
User_interface,Image_analysis,0
Semantics_of_programming_languages,Packet_switching,0
Modular_programming,Computer_programming,1
Arithmetic_logic_unit,Data_analysis,0
C_(programming_language),Computational_complexity_theory,1
Communications_protocol,Numerical_analysis,0
Rendering_(computer_graphics),Partial_differential_equation,0
Pushdown_automaton,Computer,1
"Best,_worst_and_average_case",Software_design,0
Relational_model,Symbol_table,0
Database_system,Data_(computing),1
Neural_network,Computer,1
OSI_model,Computer_science,1
Data_type,User_interface_design,0
Relational_database,Computer_science,1
Cryptanalysis,Modular_arithmetic,1
Statistics,Cluster_analysis,0
Graphical_model,Quantum_mechanics,0
Approximation_algorithm,Programmer,0
Analysis_of_algorithms,Computer,1
Distributed_computing,Complexity,1
Pattern_recognition,Continuous_function,0
Undecidable_problem,Floating_point,0
Randomized_algorithm,Theoretical_computer_science,1
Parametric_polymorphism,Least_squares,0
SQL,Polynomial,0
Functional_programming,Foundations_of_mathematics,1
Random_variable,Computing,0
Computer_security,Number_theory,1
Graphics_processing_unit,Mathematical_induction,0
Fast_Fourier_transform,Discrete_mathematics,1
Computer_architecture,Mathematics,1
Markov_chain,Conditional_probability,1
List_of_undecidable_problems,Computer_vision,0
Computer_vision,Nonlinear_system,0
Programmer,Wavelet,0
Database_management_system,Graph_coloring,0
Run_time_(program_lifecycle_phase),System_programming,0
Semantics,Perl,0
Mathematical_induction,Model_of_computation,0
Turing_machine,Mathematics,1
Vector_processor,Central_processing_unit,1
Question_answering,Computer_science,1
Relational_database,Object_(computer_science),1
Autonomous_robot,Speech_recognition,1
Perl,Web_server,0
Parallel_algorithm,Computer_programming,1
Integral,Signal_processing,0
Functional_programming,Variable_(computer_science),1
Volume_rendering,Shading,1
Transaction_processing,Database,1
